"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"FGFR1","0.245","0.319","0.277","1","hsa-miR-503-5p","","",""
"HM13","0.245","0.319","0.277","1","hsa-miR-24-3p","","",""
"MTMR9","0.245","0.319","0.277","1","hsa-miR-215-5p","","",""
"NCAPG2","0.245","0.319","0.277","1","hsa-miR-425-3p","","",""
"R3HDM4","0.245","0.319","0.277","1","hsa-miR-24-3p","","",""
"SLC43A3","0.245","0.319","0.277","1","hsa-miR-5010-3p","","",""
"SRD5A1","0.245","0.319","0.277","1","hsa-miR-215-5p","","",""
"TFAM","0.245","0.319","0.277","1","hsa-miR-4677-3p","","",""
"ZNF277","0.245","0.319","0.277","1","hsa-miR-4677-3p","","",""
"C11orf84","0.248","0.321","0.282","1","hsa-miR-24-3p","","",""
"CAPNS1","0.248","0.321","0.282","1","hsa-miR-425-3p","","",""
"CAPRIN1","0.248","0.321","0.282","1","hsa-miR-5010-3p","","",""
"CGNL1","0.248","0.321","0.282","1","hsa-miR-215-5p","","",""
"CHCHD5","0.248","0.321","0.282","1","hsa-miR-215-5p","","",""
"CNNM2","0.248","0.321","0.282","1","hsa-miR-503-5p","","",""
"DCP2","0.248","0.321","0.282","1","hsa-miR-24-3p","","",""
"DNAJB13","0.248","0.321","0.282","1","hsa-miR-24-3p","","",""
"ERVMER34-1","0.248","0.321","0.282","1","hsa-miR-5010-3p","","",""
"HINT1","0.248","0.321","0.282","1","hsa-miR-24-3p","","",""
"MSH6","0.248","0.321","0.282","1","hsa-miR-215-5p","","",""
"MTMR3","0.248","0.321","0.282","1","hsa-miR-503-5p","","",""
"PDGFRA","0.248","0.321","0.282","1","hsa-miR-146b-5p","","",""
"RAB8B","0.248","0.321","0.282","1","hsa-miR-215-5p","","",""
"SSR3","0.248","0.321","0.282","1","hsa-miR-24-3p","","",""
"UGDH","0.248","0.321","0.282","1","hsa-miR-24-3p","","",""
"CEP135","0.252","0.323","0.286","1","hsa-miR-5010-3p","","",""
"EHD2","0.252","0.323","0.286","1","hsa-miR-24-3p","","",""
"FGF19","0.252","0.323","0.286","1","hsa-miR-3074-5p","","",""
"FNBP1","0.252","0.323","0.286","1","hsa-miR-4677-3p","","",""
"METTL21A","0.252","0.323","0.286","1","hsa-miR-1180-3p","","",""
"PCLAF","0.252","0.323","0.286","1","hsa-miR-24-3p","","",""
"PTGES2","0.252","0.323","0.286","1","hsa-miR-146a-5p","","",""
"RNF24","0.252","0.323","0.286","1","hsa-miR-24-3p","","",""
"SALL1","0.252","0.323","0.286","1","hsa-miR-503-5p","","",""
"SRRD","0.252","0.323","0.286","1","hsa-miR-24-3p","","",""
"TFAP2A","0.252","0.323","0.286","1","hsa-miR-503-5p","","",""
"TOMM40","0.252","0.323","0.286","1","hsa-miR-24-3p","","",""
"UGT2B4","0.252","0.323","0.286","1","hsa-miR-503-5p","","",""
"CPEB4","0.256","0.325","0.291","1","hsa-miR-3173-5p","","",""
"DEK","0.256","0.325","0.291","1","hsa-miR-215-5p","","",""
"INMT","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"POLR3D","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"RILPL1","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"RNF41","0.256","0.325","0.291","1","hsa-miR-503-5p","","",""
"SERINC1","0.256","0.325","0.291","1","hsa-miR-5010-3p","","",""
"SLC26A2","0.256","0.325","0.291","1","hsa-miR-215-5p","","",""
"SLCO3A1","0.256","0.325","0.291","1","hsa-miR-215-5p","","",""
"TBPL1","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"TMEM246","0.256","0.325","0.291","1","hsa-miR-215-5p","","",""
"TRAF3IP1","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"TRIM67","0.256","0.325","0.291","1","hsa-miR-3173-5p","","",""
"VHL","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"ZXDA","0.256","0.325","0.291","1","hsa-miR-24-3p","","",""
"ARF6","0.259","0.327","0.295","1","hsa-miR-3074-5p","","",""
"CBX4","0.259","0.327","0.295","1","hsa-miR-503-5p","","",""
"CCBE1","0.259","0.327","0.295","1","hsa-miR-3909","","",""
"CD3D","0.259","0.327","0.295","1","hsa-miR-24-3p","","",""
"COL9A2","0.259","0.327","0.295","1","hsa-miR-5010-3p","","",""
"CUL3","0.259","0.327","0.295","1","hsa-miR-503-5p","","",""
"HDLBP","0.259","0.327","0.295","1","hsa-miR-425-3p","","",""
"NUDT7","0.259","0.327","0.295","1","hsa-miR-24-3p","","",""
"RABGEF1","0.259","0.327","0.295","1","hsa-miR-5010-3p","","",""
"SOWAHC","0.259","0.327","0.295","1","hsa-miR-215-5p","","",""
"SYNGR1","0.259","0.327","0.295","1","hsa-miR-215-5p","","",""
"TBCCD1","0.259","0.327","0.295","1","hsa-miR-24-3p","","",""
"TMEM30A","0.259","0.327","0.295","1","hsa-miR-215-5p","","",""
"VPS8","0.259","0.327","0.295","1","hsa-miR-24-3p","","",""
"WDR73","0.259","0.327","0.295","1","hsa-miR-425-3p","","",""
"XPNPEP3","0.259","0.327","0.295","1","hsa-miR-24-3p","","",""
"HDGF","0.259","0.327","0.494","2","hsa-miR-503-5p","hsa-miR-3909","",""
"ACBD5","0.263","0.328","0.300","1","hsa-miR-5010-3p","","",""
"ADAM17","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"CRLF3","0.263","0.328","0.300","1","hsa-miR-215-5p","","",""
"CYP51A1","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"GNAS","0.263","0.328","0.300","1","hsa-miR-425-3p","","",""
"HASPIN","0.263","0.328","0.300","1","hsa-miR-215-5p","","",""
"LIX1L","0.263","0.328","0.300","1","hsa-miR-503-5p","","",""
"LSM14A","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"N4BP1","0.263","0.328","0.300","1","hsa-miR-503-5p","","",""
"NKD1","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"PAPD7","0.263","0.328","0.300","1","hsa-miR-215-5p","","",""
"RBM20","0.263","0.328","0.300","1","hsa-miR-3074-5p","","",""
"RFK","0.263","0.328","0.300","1","hsa-miR-503-5p","","",""
"SESN1","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"TTF2","0.263","0.328","0.300","1","hsa-miR-215-5p","","",""
"XRCC2","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"ZSCAN29","0.263","0.328","0.300","1","hsa-miR-24-3p","","",""
"BVES","0.266","0.331","0.305","1","hsa-miR-24-3p","","",""
"CCDC117","0.266","0.331","0.305","1","hsa-miR-24-3p","","",""
"ESYT2","0.266","0.331","0.305","1","hsa-miR-24-3p","","",""
"GTPBP10","0.266","0.331","0.305","1","hsa-miR-3909","","",""
"MARCKSL1","0.266","0.331","0.305","1","hsa-miR-24-3p","","",""
"MTRF1L","0.266","0.331","0.305","1","hsa-miR-3074-5p","","",""
"PIGR","0.266","0.331","0.305","1","hsa-miR-24-3p","","",""
"PLCG2","0.266","0.331","0.305","1","hsa-miR-425-3p","","",""
